chips,Count
U4401,1
U6390,1
U4540,3
U3760,1
U5200,60
U6910,1
U2021,1
U6641,1
U8280,3
U8286,4
ISL9232,1
ISL9237,1
CD3251,2
U6921,2
U9391,1
U3001,1
CD3115,1
U8150,8
U8502,7
U9060,10
ISL6238,2
U6703,10
U3610,2
U7712,5
U7711,6
U8112,1
CD3214,2
U8297,2
U8208,2
LP9000,1
U3060,14
TPS65982,3
U3701,10
U4701,2
U7100S,2
U5920,1
U5910,1
U2350,1
U2550,1
U9911,1
U2152,2
U7401,6
U6902,2
ISL6294,1
U8209,4
U5630,2
TPS65981,1
TPS65987,1
CD3250,1
TPS65986,1
U6510,1
U8225,3
U0600,2
U1830,2
U4610,6
U8302,2
U8053,1
U8025,1
U7050,1
ISL95831,3
U8400S,1
TPS62136,1
U6861,1
U6855,4
U6860,5
U9419,1
U7350,2
U8410,7
U3100X,1
U3100T,3
U3100R,4
ISL9259,1
U6520,6
U6560,2
U6460,1
U2120,1
TPS51180,1
U5611,1
U2900,1
U7290,1
U7999,1
U8607,1
U7020,1
CD2317,1
U8320,1
U7620,1
U5340,6
U7204,1
TPS51393,2
TPS51395,1
U8215,1
U2690,1
U3100W,1
U8750,1
U2020,1
U8260,1
U2010,2
TPS65156,1
TPS65157,1
U9013,1
CD3218,2
U8285,1
U5150,1
