SIGNAL NAME,SIMPLE EXPLANATION
PP5V_S4RS3,PP5V_S4RS3 is a 5v power rail present when the machine is in an S4 suspend to disk state.
3V3_SUS,"3V3_SUS is an abbreviation for PP3V3_SUS. These are interchangeable. The ""PP3V3_SUS"" rail on a MacBook logic board is a power rail that provides a 3.3-volt supply to the suspend-to-RAM (S3 state) components. "
PP3V3_S3,
3V3_G3H,"This is one of the first power rails that must turn on for Macbooks that use USB-C for charging. This power rail powers the CD3215 chip that controls the USB-C charger, speaks to the USB-C charger, and requests 20 volts up from the default 5 volts that the USB-C charger puts out when initially connected to an unknown device. "
PCH_DSWVRMEN,"DSWVRMEN stands for DeepSx Well On-Die Voltage Regulator Enable. This signal enables the internal DSW 1.05 V regulators and must be always pulled-up to PPVRTC_G3H 3.3 volts.
If this signal is not being asserted (i.e., not enabled), the on-die voltage regulators responsible for supplying power in deep sleep states may not be active. This could lead to the MacBook failing to exit from a deep sleep state or having issues when trying to enter one, contributing to a scenario where the device does not power on.

If the signal is not present or not at the correct levels, it could indicate a problem with the Platform Controller Hub (PCH) itself."
S5_PWRGD,"The S5_PWRGD signal is a status signal that indicates the S5 rails are on and functioning properly. If this is not present, check the S5 rails to see if they are functioning, and the chip that creates S5_PWRGD."
PPVCORE_S0_CPU,"This is the primary power rail for the CPU that powers the CPU, known as CPU vcore. Without this, the machine will be braindead. "
PP1V05_S0,"The PP1V05_S0 power rail is for various components on the logic board that require a 1.05V supply voltage in the S0 (on) state. This voltage rail is likely to be used by the CPU (for VCCIO), PCH (Platform Controller Hub).

"
PCH_INTRUDER_L,"PCH_INTRUDER_L is a signal that tells the machine the case has been opened by an intruder when it is low, the _L means it is present when it is low. This signal should always be high in a Macbook since it doesn’t use intrusion detection. "
PPVOUT_S0_LCDBKLT,"PPVOUT_S0_LCDBKLT is a power rail that powers the LED light in the screen of the device that allows you to see what is on the screen. When this is low or missing, the screen will be dim."
3V42_G3H,"This is shorthand for PP3V42_G3H which is one of the first power rails that must turn on in older Macbooks that use a magsafe charger in order for them to get a light on the charger. This power rail powers the onewire circuit and the SMC, which are necessary for the machine to communicate with the charger and get it to turn on, as well as begin the bootup sequence. "
RTC_RESET_L,"RTC_RESET_L is a reset signal that is present when the signal is low, the _L means it is asserted when the voltage is low. The RESET signal will keep the PCH from turning on or booting up the machine. "
BKL_PWM,"BKL_PWM sets the brightness of the screen. The system will send a PWM signal to BKL_PWM pin to set brightness. If this is low, backlight voltage will boost higher than PPBUS_G3H input, but not enough to make the screen light properly."
PP5V_G3S,PP5V_G3S is a 5v power rail present when the system is in a G3S standby state
DP_INT_HPD,
BKL_EN,"BKL_EN enables backlight. Anytime you see a signal ending with “_EN” , that means this signal being present/high enables what it is referring to. This signal says “BKL” before “_EN”. “BKL” sounds short for “BACKLIGHT”, so it is safe to assume this signal enables backlight when present. "
PCH_SRTCRST_L,"PCH_SRTCRST_L is a reset signal present for the RTC circuit that asserts when it is low in voltage, that is what _L means."
PP1V8_SLPS2R,PP1V8_SLPS2R is a 1.8v power rail present when the system is in a SLPS2R state. 
5V_S3,"5V_S3 is an abbreviation of “PP5V_S3” which is a 5 volt power rail present in an S3 state. S3 (Suspend to RAM) is a state where the system saves its context to RAM, a faster but more power-consuming method than S4. The system shuts down most components except for RAM, which remains powered to retain the system state. PM_SLP_S4_L is required for this rail to be present. "
PPBUS_AON,
LCD_BKLT_EN,"This is an enable signal. Anytime you see “_EN”, it means when the voltage is high(3.3 volts), whatever it is going to is being turned on or enabled. Here, “LCD_BKLT” which stands for “LCD screen backlight” is being enabled. This signal usually goes to an LED driver used for creating a power rail for the LCD screen backlight, to tell it to turn on & create this rail. "
EDP_BKLT_EN,"This is an enable signal. Anytime you see “_EN”, it means when the voltage is high(3.3 volts), whatever it is going to is being turned on or enabled. Here, “EDP_BKLT” which stands for “embedded displayport backlight” is being enabled. This signal usually goes to an LED driver used for creating a power rail for the LCD screen backlight, to tell it to turn on & create this rail. "
SYS_ONEWIRE,This is a bidirectional communication line between the system management controller(SMC) and the charger that allows the charger to communicate with the SMC. This must be working for the light to come on on the magsafe charger. 
PP1V5_S0,PP1V5_S0 is a 1.5v power rail present when the machine is in an S0 working state
AUX_DET,
PM_SLP_S4,"This is a typo of PM_SLP_S4_L When you see PM_SLP_S4, assume they meant to type PM_SLP_S4_L"
PP3V3_G3H_RTC,PP3V3_G3H_RTC Is one of the first rails that has to come on in order for the USB-C mux chip to be powered in the T2 chip Macbook Pros.
PCH_INTVRMEN,"PCH_INTVRMEN is an Internal Voltage Regulator Enable: When pulled high, this signal enables
the internal 1.05 V regulators for the Suspend well in the PCH. This signal must
remain asserted for the VRMs to behave properly (no glitches allowed).
This signal must be pulled-up to VCCRTC on desktop platforms and may
optionally be pulled low on mobile platforms if using an external VR for the
VCCSUS rail"
PPBUS_S5_HS_COMPUTING_ISNS,This power rail is PPBUS_G3H after going through a current sense resistor that sits between PPBUS_G3H & the input of PPBUS_G3H to circuitry that provides power for the CPU.
PP5V_SUS,
PP3V3_UPC_XB_LDO,"PP3V3_UPC_XB_LDO is an LDO coming out of the CD3215 USB-C muxing/charging chip. This can be shorted to ground by the capacitor on its line, and when this happens, the chip can stop functioning which causes the charger to not turn on."
PPDCIN_G3H_CHGR,This is the input that comes from the charger.
PP1V2_S3,PP1V2_S3 is a 1.2v power rail present when the machine is in an S3 suspend to RAM state
PM_SLP_SX_L,
BKLT_EN_R,"This signal enables backlight. Anytime you see a signal ending with “_EN” , that means this signal being present/high enables what it is referring to. This signal says “BKL” before “_EN”. “BKL” sounds short for “BACKLIGHT”, so it is safe to assume this signal enables backlight when present. The “_R” suffix means that the signal is asserted when it is high, as in 3.3v, which is the opposite of the “_L”  suffix"
P_IN,
5V_S5,5V_S5 is an abbreviation for “PP5V_S5” which is a 5v power rail that is present when the machine is in an S5 state. 
5V_S0,5V_S5 is an abbreviation for “PP5V_S0”
SMC_ONOFF,"SMC_ONOFF is a signal that tells the machine that the power button has been pressed so it knows to turn on, or turn off. "
SMC_RESET,"SMC_RESET is not a signal, it is an abbreviation for “SMC_RESET_L”, which is the signal someone is referring to when they type “SMC_RESET”  ""SMC_RESET_L is a signal that resets the SMC when it is low(this is what the “_L” prefix means), and lets the SMC out of reset mode when it is high. "
PM_PCH_SYS_PWROK,
PP2V5_NAND_SSD0,PP2V5_NAND_SSD0 This is a power rail that powers the NAND on Macbooks where the solid state drive is soldered directly to the board. 
3V3_S0,"Abbreviation for PP3V3_S0, a 3.3v power rail present when the machine is in an S0 working state"
3V3_G3H_RTC,3V3_G3H_RTC Is an abbreviation of PP3V3_G3H_RTC which is one of the first rails that has to come on in order for the USB-C mux chip to be powered in the T2 chip Macbook Pros.
CPU_VCCST_PWRGD,
ADAPTER_SENSE,This is a line between the onewire circuit and the magsafe charger where the magsafe charger can talk to the SMC(system management controller) on the SYS_ONEWIRE line.
ALL_SYS,"This is a typo of ALL_SYS_PWRGD When you see ALL_SYS, assume they meant to type ALL_SYS_PWRGD"
PP3V3_UPC_XA_LDO,"PP3V3_UPC_XA_LDO is an LDO coming out of the CD3215 USB-C muxing chip. When this is missing, either a capacitor on the line has shorted, PP3V3_G3H is missing, or the CD3215 is bad."
PPVCORE_GPU,This is the main power rail for the GPU. This is required for the GPU to turn on so you can get image on the display. 
PP1V1_UPC_XB_LDO_BMC,"PP1V1_UPC_XB_LDO is an LDO coming out of the CD3215 USB-C muxing/charging chip. This can be shorted to ground by the capacitor on its line, and when this happens, the chip can stop functioning which causes the charger to not turn on. This can also be missing if the CD3215 chip itself is bad."
LCD_PWR_EN,LCD_PWR_EN is a signal that tells the chip that supplies power to the LCD screen to turn on.
PP1V8_S0,"PP1V8_S0 is a power rail that is present when the machine is in an S0 state, meaning it is fully turned on, not sleeping or hiberating "
PP1V8_UPC_XB_LDOD,"PP3V3_UPC_XB_LDO is an LDO coming out of the CD3215 USB-C muxing chip. When this is missing, either a capacitor on the line has shorted, PP3V3_G3H is missing, or the CD3215 is bad."
PP1V1_UPC_XA_LDO_BMC,"PP1V1_UPC_XA_LDO is an LDO coming out of the CD3215 USB-C muxing chip. When this is missing, either a capacitor on the line has shorted, PP3V3_G3H is missing, or the CD3215 is bad."
PM_PCH_PWROK,"PM_PCH_PWROK is usually created by U1950, a 74LVC2G08GT chip and is necessary for the machine to wake from an S5 and S4 state and turn on. This signal will be present if ALL_SYS_PWRGD, CPU_VR_PGOOD, PP3V3_S0, and PP3V42_G3H are present. When this signal is not present or intermittent, usually pin 8 on U1950 for PP3V42_G3H is corroded."
AVREF_SMC,"AVREF_SMC is a reference voltage provided to the SMC so that its sensors have a reference to work from, this should be 3.3v"
CHGR_ACIN,"CHGR_ACIN is a signal that is created by a voltage divider between the charger and ground that goes into the ISL6258, ISL6259, ISL9239, or ISL9240 chip that creates PPBUS_G3H. It is necessary for SMC_BC_ACOK & CHGR_ACOK to be present so that the onewire circuit is told to turn on & allow the SMC to speak to the charger."
PPVCORE_S0_AXG,"This is vcore going to the CPU’s integrated graphics processor for CPUs that have an integrated GPU. When this is missing on a device that has an integrated GPU and no discrete GPU, it usually means either no screen is detected, or the GPU integrated into the CPU is dead."
CHGR_BMON,"CHGR_BMON goes between the ISL6259, ISL9239, or ISL9240 that charges the battery & creates PPBUS_G3H and the SMC(system management controller) or T2 chip(on machines where the SMC is integrated into the T2 chip) and provides current sensing information on battery charging to the SMC. If diagnostics reveal an off reading or failure with the charger current sense, this is a good place to start troubleshooting."
PPDCIN_G3H_ISOL,This is the voltage coming directly from the charger after going through a transistor. 
PPVIN_G3H_P3V3G3H,"This is the input from the USB-C charger or the battery that is the input voltage for the chip responsible for creating PP3V3_G3H. It can be missing when capacitors on this line are shorted to ground, or when the diode in front of it leading to the chip that creates PP3V3_G3H is blown. "
PP1V8_UPC_XB_LDOA,"This is an LDO coming out of the CD3215 USB-C muxing/charging chip. This can be shorted to ground by the capacitor on its line, and when this happens, the chip can stop functioning which causes the charger to not turn on. This can also be missing if the CD3215 chip itself is bad. Each CD3215 in the system needs to be functioning in order for any of them to speak to the charger and negotiate receiving 20v from the charger rather than the default 5v that a USB-C charger puts out before communicating with the system. "
PP1V8_S3,"The PP1V8_S3 signal in the MacBook schematic is a power rail that provides a voltage of 1.8 volts during the S3 power state. The S3 state, often referred to as ""suspend to RAM,"" is a low-power mode where the computer saves the session's state to RAM, allowing for quicker wake-up times compared to a full shutdown."
5V_S4,"This is an abbreviation of “PP5V_S4” – when you see this, assume the person typing it meant to type “PP5V_S4”"
PP1V05_SUS,"The PP1V05_SUS signal in the MacBook schematic is a power rail that supplies 1.05 volts, typically used in a suspended (SUS) state of the laptop. This state is a low-power mode where essential system functions are maintained, but the majority of the system is powered down."
PP1V8_AWAKE,"The PP1V8_AWAKE signal in the MacBook schematic is indicative of a power rail that delivers 1.8 volts when the machine is in an ""awake"" state. This is not a traditional power state defined in the older Intel PCH documentation; it seems to be specific to newer MacBook architectures. The ""awake"" designation likely refers to a state where the MacBook is on and ready for user interaction, but it is not necessarily at full operational capacity (which would be denoted by an S0 state)"
PLT_RST_L,"This is an abbreviation of “PLT_RESET_L” – when you see “PLT_RST_L"", assume the person meant to type PLT_RESET_L"
CHGR_AMON,"CHGR_AMON provides DC current sense information to the SMC(System management controller) or T2 chip(on machines where the SMC is integrated into the T2 chip). It comes from the battery charging chip that controls the laptop charger, battery charging, and creation of PPBUS_G3H(ISL6259, ISL9239, or ISL9240 chip depending on the logic board part number and model). This is used for sensors. If a DC current sense sensor is reading off in diagnostics, this is a place to start looking. "
PP1V1_SLPS2R,"The PP1V1_SLPS2R power rail in the MacBook schematic provides a 1.1-volt supply in a specific low-power state indicated by the ""_SLPS2R"" suffix and is used for powering the T2 chip."
PP1V2_AWAKE,The PP1V2_AWAKE signal in the MacBook schematic is a power rail that provides 1.2 volts and is associated with the machine's awake state and is used for powering the T2 chip.
PP3V3_AWAKE,
BKLT_SD,"BKLT_SD is a pin of the LED driver that goes to the voltage divider that feeds the gate of the transistor that sits between PPBUS_G3H and the backlight circuit. The LED driver will short this pin to ground when backlight circuit is ready to turn on. Prerequisites are 1) it is told to turn on via enable signal, the screen has communicated with the LED driver 2) current sensing circuit is working 3) does not detect an over-current situation such as the backlight power rail being shorted to ground"
PPVCCSA_S0_CPU,Main power rail for the CPU. If this is missing the machine will act braindead. This is NOT shorted to ground if it has a low resistance – this is a common mistake people make. A chip that requires high power at a low voltage like a CPU or GPU will have a low measured resistance to ground.
PPBUS_S5_HS_OTHER_ISNS,This is PPBUS_G3H after passing through a current sense resistor that splits it off from the rest of PPBUS_G3H. The purpose of this is so that we can measure how much current is flowing to this part of the machine.
PPVBAT_G3H_CONN,This is the where the battery’s power rail connects to the motherboard. 
AUX_OK,
PMU_ONOFF_L,
P5VS4_EN,
PPBUS_HS_CPU,
SMBUS_SMC_5_G3_SDA,"SMBUS_SMC_5_G3_SDA is the data line of an I2C data line between the battery charging chip that creates PPBUS_G3H, the system management controller(SMC), the battery, and the battery indicator LED. If this line’s resistance to ground is too low because of a defective component, battery will not be recognized with an X on the icon and PPBUS_G3H voltage will be lower than it is on a good system."
SMBUS_SMC_5_G3_SCL,"SMBUS_SMC_5_G3_SCL is the clock line of an I2C data line between the battery charging chip that creates PPBUS_G3H, the system management controller(SMC), the battery, and the battery indicator LED. If this line’s resistance to ground is too low because of a defective component, battery will not be recognized with an X on the icon and PPBUS_G3H voltage will be lower than it is on a good system."
LCD_IG_PWR_EN,
BKLT_PLT_RST_L,
BKLT_EN,"This signal enables backlight. Anytime you see a signal ending with “_EN” , that means this signal being present/high enables what it is referring to. This signal says “BKLT” before “_EN”. “BKLT” sounds short for “BACKLIGHT”, so it is safe to assume this signal enables backlight when present. "
PP0V6_S0_DDRVTT,Power rail for RAM. 
SMC_BATLOW_L,"SMC_BATLOW_L refers to a power management signal that indicates a low battery condition. The ""_L"" suffix suggests that this is an active-low signal, meaning that it becomes low when the battery reaches a low voltage threshold."
SMC_RST_IN,
PP3V3_S5_AVREF_SMC,PP3V3_S5_AVREF_SMC Is a reference voltage for the SMC’s voltage sensors & other sensors.
CPU_VCORE,Power rail for the CPU. If this is missing the machine will act braindead. 
PP0V8_SLPS2R,
SMC_PBUS_VSENSE,
3V3_S4,"This is an abbreviation of PP3V3_S4, a 3.3v power rail when the machine is in an S4 state. "
PP1V8_G3S,
PPVCCGT_S0_CPU,
PP1V8_UPC_XA_LDOD,
SYS_DETECT_L,For detection of the battery
EDP_INT_ML_N,
P3V3S5_EN_L,P3V3S5_EN_L is a signal that enables the power chip responsible for creating PP3V3_S5 when it is low. 
PM_SLP_S0_L,
EDP_INT_ML_P,
PP3V3_S4SW_SNS,
PP20V_USBC,20 volt power rail that comes directly from the charger
CHGR_DCIN,"CHGR_DCIN comes directly from charger into ISL6258 or ISL6259, the resistor before it can be blown when there are surges. Should be checked when PPBUS_G3H is missing"
PPVDDCPU_AWAKE,
BUF_SMC_RESET_L,
3V8_AON,
CHGR_BGATE,
S4_PWR_EN,S4_PWR_EN turns on the S4 power rails. Signals ending in _EN enable whatever came before _EN in the signal name when the voltage of the signal is high. 
PP3V3_S5_REG,PP3V3_S5_REG is a 3.3v power rail present when the machine is in an S5 soft off state. 
PM_SYSRST_L,"PM_SYSRST_L is a system reset signal present when it is low, _L means the signal asserts itself when the voltage is low. This signal needs to be high for the system to exit reset mode & turn on properly. "
PP3V3R3V0_AON,PP3V3R3V0_AON is the first power rail you need to get a USB-C charger to go from 5v to 20v on an A1534 Macbook with an 820-00045 board.
SMC_DELAYED_PWRGD,SMC_DELAYED_PWRGD is a signal that comes from the SMC that is a pre-requisite for SYS_PWROK_R and PM_PCH_SYS_PWROK.
EDP_PANEL_PWR,
LCDBKLT_EN_L,This signal enables the backlight when it is low.  _L means the signal asserts itself when the voltage is low. This signal needs to be low to enable backlight. 
CHGR_ACOK,"This is identical to SMC_BC_ACOK. This will come out of the ISL6258 or ISL6259 charging chip when CHGR_ACIN & CHGR_DCIN are present, and is necessary for the onewire circuit to begin working. On most Macbooks, CHGR_ACOK needs to be present in order for PP3V42_G3H to flow to the onewire circuit so that the circuitry that allows the charger to communicate with the SMC will turn on.  "
PP2V5_NAND_SSD1,PP2V5_NAND_SSD1 is a power rail that powers the soldered on SSDs
PP5V_S5_LDO,PP5V_S5_LDO is a 5v rail present when the machine is in a S5 soft off state. 
PCH_CLK32K_RTCX1,
PP1V8_UPC_XA_LDOA,
PM_EN_P3V3_G3H,"PM_EN_P3V3_G3H is a signal that enables the PP3V3_G3H rail to turn on. This comes out of ISL9239 or ISL9240 chip; when missing, often is missing because of a bad ISL9239 or ISL9240 chip. "
CPU_VR_READY,
PPBUS_S5_HS_COMPUTING,
PP5V_S0SW_LCD,
SMC_LID_RIGHT,"SMC_LID_RIGHT is a signal that tells the system if the lid is closed from the right LID sensor. If it is low, the system thinks the lid is closed – if it is 3.3v, the system thinks the machine is open. SMC_LID_RIGHT needs to be high for the machine to stay awake and have a backlight. "
EDP_INT_AUX_N,
5V_S0SW_LCD,
PP3V3_S2,PP3V3_S2 is a typo of PP3V3_S3
SMC_LID_LEFT,"SMC_LID_LEFT is a signal that tells the system if the lid is closed from the left LID sensor. If it is low, the system thinks the lid is closed – if it is 3.3v, the system thinks the machine is open. SMC_LID_LEFT needs to be high for the machine to stay awake and have a backlight. "
SMC_BC_ACOK_VCC,SMC_BC_ACOK_VCC is a voltage that is created if SMC_BC_ACOK & PP3V42_G3H are both present that powers the chipset for the onewire circuit that allows the SMC to talk to the charger on the SYS_ONEWIRE line. This is necessary for the magsafe charger to have a light on it. 
PPVOUT_SW_LCDBKLT,PPVOUT_SW_LCDBKLT is the voltage rail for the backlight of the LCD screen. 
P3V3S5_EN,P3V3S5_EN is a signal that enables the power chip responsible for creating PP3V3_S5 when it is high. Signals with _EN mean that whatever is mentioned before the _EN will be enabled or turned on when the signal is high. 
PP3V3_G3H_RTC_X,
PP3V0_G3H,PP3V0_G3H is a 3.0v power rail present when the machine is in a G3H global system hardware off state.
PCH_INTVRMEN_L,"PCH_INTVRMEN_L is a signal that stands for Internal Voltage Regulator Enable. When pulled high, this signal enables the internal 1.05 V regulators for the Suspend well in the PCH. This signal must be pulled-up to PPVRTC_G3H."
PP1V5_S3,
SMC_DCIN_VSENSE,
PP3V3_UPC_TA_LDO,"PP3V3_UPC_TA_LDO is an LDO coming out of the CD3215 USB-C muxing chip. When this is missing, either a capacitor on the line has shorted, PP3V3_G3H is missing, or the CD3215 is bad."
SMC_DCIN,
PP3V8_AON,
PP3V3_S0SW_LCD,PP3V3_S0SW_LCD is a 3.3v power rail necessary to power the image circuitry on the screen. This is necessary to get a picture on the screen. 
P5VS4RS3_EN,"PP5VS4RS3_EN is a signal that enables the PP5V_S4RS3 power rail. When you see _EN in front of a signal name, it means that it is enabling whatever comes before the _EN when the signal is high."
CHGR_PHASE,CHGR_PHASE is charger voltage chopped up into individual slices prior to smoothing where it becomes PPBUS_G3H
SMC_DCIN_ISENSE,
SMC_RST,
PP3V1_RTC,
PP1V2_S5_SMC_VDDC,
12V_S0,
UPC_I2C_INT_L,
PP1V1_UPC_TA_LDO_BMC,
PPVIN_S5_HS_COMPUTING_ISNS,
PM_SLP_S3_BUF_L,
PM_SLP_S3,
LCD_BKLT_PWM,"LCD_BKLT_PWM sets the brightness of the screen. The system will send a PWM signal to BKL_PWM pin to set brightness. If this is low, backlight voltage will boost higher than PPBUS_G3H input, but not enough to make the screen light properly."
PPHV_S0SW_LCDBKLT,"PPHV_S0SW_LCDBKLT is a power rail that powers the backlight on the LCD screen, this is necessary to get the screen to light up."
EDP_PANEL_PWR_EN,EDP_PANEL_PWR_EN is necessary to enable the power rail that powers the LCD screen image circuitry. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
PP3V3_UPC_TB_LDO,
PP18V5_DCIN_CONN,
PP5VR3V3_SW_LCD,
CHGR_EN_MVR,
EDP_BKLT_PWM,"EDP_BKLT_PWM sets the brightness of the screen. The system will send a PWM signal to BKL_PWM pin to set brightness. If this is low, backlight voltage will boost higher than PPBUS_G3H input, but not enough to make the screen light properly."
SMC_USBC_INT_L,
3_L,
PPVCCCPU_S0G,
PPVIN_G3H_P3V42G3H,"PPVIN_G3H_P3V42G3H is the input voltage to the PP3V42_G3H buck converter circuit, it can be either charger voltage or battery voltage depending on what the system power source is. This often shorts to ground when one of the input capacitors dies. "
SMBUS_SMC_BSA_SDA,"SMBUS_SMC_BSA_SDA is the clock line of an I2C data line between the battery charging chip that creates PPBUS_G3H, the system management controller(SMC), the battery, and the battery indicator LED."
3V3_S3,
PP0V9_SSD0,This is a power rail for the soldered on SSD on newer Macbooks. 
P5VS0_EN,This signal enables the PP5V_S0 power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
TBA_VDDA,
CHGR_UGATE,
P3V3S0_EN,This signal enables the PP3V3_S0 power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
P5VG3S_EN,This signal enables the PP5V_G3S power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
PP20V_USBC_XA_VBUS,This is 
PPBUS_SW_LCDBKLT_PWR,PPBUS_SW_LCDBKLT_PWR is PPBUS_G3H after it has passed through a backlight fuse and a transistor that allows power through when BKLT_PLT_RST_L and LCD_BKLT_EN are present. 
PP0V75_S0_DDRVTT,PP0V75_S0_DDRVTT is a 0.75v power rail present when the machine is in an S0 working state 
PM_SLP,
S5_PWR_EN,S5_PWR_EN is a signal that turns on all S5 power rails when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
PP3V3_G3H_T,
P3V3SUS_EN,P3V3SUS_EN is a signal that turns on the PP3V3_SUS power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high.
PP5V_S3RS0_ALSCAM_F,PP5V_S3RS0_ALSCAM_F is a 5v power rail that powers the webcam(CAM) and ambient light sensor(ALS).
PP5V_S2_MAIN,
SMC_LSOC_RST_L,"SMC_LSOC_RST_L is a signal that comes out of the trackpad on Macbook Airs that can reset the SMC.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
CPUIMVP_VR_ON,"CPUIMVP_VR_ON is a signal that tells the buck converter responsible for PPVCORE_S0_CPU to turn on and create CPU vcore voltage. This comes from ALL_SYS_PWRGD – once ALL_SYS_PWRGD is present, CPUIMVP_VR_ON will be present. "
CHGR_A,
